Item,Date,Price
Mascara,01/06/1995,2.977219
Eggs,01/06/1995,1.18
Toothpaste,01/06/1995,0.7561165
Tampons,01/06/1995,1.097679
Eggs,01/07/1995,1.135988
Toothpaste,01/07/1995,0.7548058
Bread,01/07/1995,0.8042932
Tampons,01/07/1995,1.132626
Mascara,01/07/1995,2.987341
Eggs,01/08/1995,1.153575
Toothpaste,01/08/1995,0.7520738
Tampons,01/08/1995,1.114525
Mascara,01/08/1995,2.893064
Bread,01/08/1995,0.8077436
Bread,01/09/1995,0.7979798
Mascara,01/09/1995,2.915435
Toothpaste,01/09/1995,0.7534884
Eggs,01/09/1995,1.152774
Tampons,01/09/1995,1.143033
Mascara,01/10/1995,2.932742
Eggs,01/10/1995,1.176494
Toothpaste,01/10/1995,0.7590187
Tampons,01/10/1995,1.155963
Bread,01/10/1995,0.8071429
Mascara,01/11/1995,2.973838
Bread,01/11/1995,0.8028866
Toothpaste,01/11/1995,0.768578
Tampons,01/11/1995,1.157097
Eggs,01/11/1995,1.183121
Tampons,01/12/1995,1.168009
Mascara,01/12/1995,2.966263
Toothpaste,01/12/1995,0.7772477
Eggs,01/12/1995,1.235975
Bread,01/12/1995,0.7961
Bread,01/01/1996,0.7922843
Tampons,01/01/1996,1.176239
Eggs,01/01/1996,1.215185
Toothpaste,01/01/1996,0.7777273
Mascara,01/01/1996,2.93555
Bread,01/02/1996,0.8077249
Eggs,01/02/1996,1.231544
Dog Food,01/02/1996,0.443617
Toothpaste,01/02/1996,0.7972277
Tampons,01/02/1996,1.195349
Mascara,01/02/1996,3.098944
Mascara,01/03/1996,3.132135
Bread,01/03/1996,0.804433
Tampons,01/03/1996,1.188037
Eggs,01/03/1996,1.30329
Dog Food,01/03/1996,0.4468812
Toothpaste,01/03/1996,0.7896154
Dog Food,01/04/1996,0.4479
Mascara,01/04/1996,3.1495
Bread,01/04/1996,0.8010881
Tampons,01/04/1996,1.196091
Toothpaste,01/04/1996,0.7898058
Eggs,01/04/1996,1.312819
Dog Food,01/05/1996,0.4531372
Mascara,01/05/1996,3.178232
Tampons,01/05/1996,1.198393
Toothpaste,01/05/1996,0.8024762
Eggs,01/05/1996,1.326384
Bread,01/05/1996,0.7867016
Mascara,01/06/1996,3.213642
Eggs,01/06/1996,1.320298
Toothpaste,01/06/1996,0.8046377
Bread,01/06/1996,0.8124084
Tampons,01/06/1996,1.217644
Dog Food,01/06/1996,0.4412308
Tampons,01/07/1996,1.178664
Mascara,01/07/1996,3.127933
Eggs,01/07/1996,1.352597
Bread,01/07/1996,0.7786598
Toothpaste,01/07/1996,0.823
Dog Food,01/07/1996,0.4569378
Eggs,01/08/1996,1.355188
Dog Food,01/08/1996,0.4649123
Bread,01/08/1996,0.7796178
Mascara,01/08/1996,3.221895
Toothpaste,01/08/1996,0.7936313
Tampons,01/08/1996,1.192473
Tampons,01/09/1996,1.195174
Toothpaste,01/09/1996,0.8114525
Eggs,01/09/1996,1.340368
Bread,01/09/1996,0.7714465
Dog Food,01/09/1996,0.4611494
Mascara,01/09/1996,3.477615
Tampons,01/10/1996,1.204725
Bread,01/10/1996,0.7765432
Eggs,01/10/1996,1.352303
Toothpaste,01/10/1996,0.7993103
Mascara,01/10/1996,3.357733
Dog Food,01/10/1996,0.4617977
Dog Food,01/11/1996,0.4657222
Mascara,01/11/1996,3.400268
Tampons,01/11/1996,1.204382
Eggs,01/11/1996,1.377025
Toothpaste,01/11/1996,0.8090857
Bread,01/11/1996,0.7762733
Eggs,01/12/1996,1.380364
Mascara,01/12/1996,3.420671
Dog Food,01/12/1996,0.4597753
Toothpaste,01/12/1996,0.8109836
Bread,01/12/1996,0.7737654
Tampons,01/12/1996,1.19663
Dog Food,01/01/1997,0.4732759
Eggs,01/01/1997,1.370698
Bread,01/01/1997,0.7715432
Tampons,01/01/1997,1.194722
Mascara,01/01/1997,3.421486
Toothpaste,01/01/1997,0.8177472
Mascara,01/02/1997,3.474868
Tampons,01/02/1997,1.200703
Toothpaste,01/02/1997,0.8244382
Bread,01/02/1997,0.7404791
Dog Food,01/02/1997,0.489593
Eggs,01/02/1997,1.366688
Bread,01/03/1997,0.7593789
Mascara,01/03/1997,3.582313
Dog Food,01/03/1997,0.4904118
Toothpaste,01/03/1997,0.8299441
Tampons,01/03/1997,1.200865
Eggs,01/03/1997,1.369059
Eggs,01/04/1997,1.371454
Toothpaste,01/04/1997,0.8310674
Tampons,01/04/1997,1.204332
Mascara,01/04/1997,3.611812
Bread,01/04/1997,0.7417073
Dog Food,01/04/1997,0.4945402
Eggs,01/05/1997,1.345329
Mascara,01/05/1997,3.655507
Toothpaste,01/05/1997,0.8303488
Dog Food,01/05/1997,0.4892529
Bread,01/05/1997,0.7618293
Tampons,01/05/1997,1.205806
Dog Food,01/06/1997,0.4925444
Mascara,01/06/1997,3.63625
Tampons,01/06/1997,1.204696
Toothpaste,01/06/1997,0.8396913
Eggs,01/06/1997,1.342012
Bread,01/06/1997,0.7764671
Mascara,01/07/1997,3.7728
Bread,01/07/1997,0.767378
Dog Food,01/07/1997,0.4978571
Tampons,01/07/1997,1.198251
Toothpaste,01/07/1997,0.8373373
Eggs,01/07/1997,1.328294
Bread,01/08/1997,0.7756627
Mascara,01/08/1997,3.64649
Tampons,01/08/1997,1.206486
Dog Food,01/08/1997,0.4942614
Eggs,01/08/1997,1.311921
Toothpaste,01/08/1997,0.8392135
Tampons,01/09/1997,1.204194
Dog Food,01/09/1997,0.4922034
Eggs,01/09/1997,1.329096
Mascara,01/09/1997,3.616755
Toothpaste,01/09/1997,0.8386339
Bread,01/09/1997,0.76375
Mascara,01/10/1997,3.629384
Dog Food,01/10/1997,0.4962069
Toothpaste,01/10/1997,0.8407821
Eggs,01/10/1997,1.32069
Bread,01/10/1997,0.764359
Tampons,01/10/1997,1.199893
Tampons,01/11/1997,1.204392
Dog Food,01/11/1997,0.4961714
Eggs,01/11/1997,1.280229
Toothpaste,01/11/1997,0.8385083
Bread,01/11/1997,0.7683439
Mascara,01/11/1997,3.912313
Bread,01/12/1997,0.7645062
Mascara,01/12/1997,3.887422
Tampons,01/12/1997,1.204511
Dog Food,01/12/1997,0.4965116
Eggs,01/12/1997,1.361591
Toothpaste,01/12/1997,0.8478453
Toothpaste,01/01/1998,0.8434615
Eggs,01/01/1998,1.408402
Dog Food,01/01/1998,0.4755279
Bread,01/01/1998,0.7574375
Mascara,01/01/1998,3.966357
Tampons,01/01/1998,1.204426
Bread,01/02/1998,0.7738318
Toothpaste,01/02/1998,0.8645098
Mascara,01/02/1998,4.227607
Eggs,01/02/1998,1.308456
Dog Food,01/02/1998,0.480963
Tampons,01/02/1998,1.310952
Eggs,01/03/1998,1.366276
Dog Food,01/03/1998,0.4706945
Toothpaste,01/03/1998,0.8633557
Mascara,01/03/1998,4.20281
Tampons,01/03/1998,1.32396
Bread,01/03/1998,0.7800885
Eggs,01/04/1998,1.300136
Toothpaste,01/04/1998,0.8733113
Tampons,01/04/1998,1.31871
Bread,01/04/1998,0.7689381
Dog Food,01/04/1998,0.4688889
Mascara,01/04/1998,4.217607
Tampons,01/05/1998,1.337974
Toothpaste,01/05/1998,0.8686666
Mascara,01/05/1998,4.203396
Dog Food,01/05/1998,0.469726
Bread,01/05/1998,0.7474561
Eggs,01/05/1998,1.296216
Mascara,01/06/1998,4.570784
Eggs,01/06/1998,1.320066
Bread,01/06/1998,0.7599145
Dog Food,01/06/1998,0.468125
Toothpaste,01/06/1998,0.8563514
Tampons,01/06/1998,1.338758
Dog Food,01/07/1998,0.4734028
Mascara,01/07/1998,4.557547
Eggs,01/07/1998,1.277537
Bread,01/07/1998,0.7711607
Tampons,01/07/1998,1.343355
Toothpaste,01/07/1998,0.8555263
Eggs,01/08/1998,1.352177
Bread,01/08/1998,0.7676316
Tampons,01/08/1998,1.337785
Mascara,01/08/1998,4.511271
