Item,Date,Price,Percentage Change 
Butter,01/06/2014,3.048485,-1.951621485
Car Repair,01/06/2014,98.91841,0.038920965
Dog Food,01/06/2014,0.6076518,-0.006665001
Eggs,01/06/2014,2.54864,1.487616925
Kitchen Roll,01/06/2014,1.672672,-5.078102581
Mascara,01/06/2014,7.80974,-0.271417486
Soap,01/06/2014,1.408276,-5.129463259
Tampons,01/06/2014,1.984675,-0.643178354
Toothpaste,01/06/2014,1.881095,6.023566061
Butter,01/07/2014,3.013462,1.148865748
Car Repair,01/07/2014,99.2233,0.307276617
Dog Food,01/07/2014,0.6071837,-0.077093637
Eggs,01/07/2014,2.584409,1.384030159
Kitchen Roll,01/07/2014,1.731846,3.416816507
Mascara,01/07/2014,7.984,2.18261523
Soap,01/07/2014,1.442424,2.367403759
Tampons,01/07/2014,1.988715,0.203146253
Toothpaste,01/07/2014,1.791655,-4.992032506
Butter,01/08/2014,3.008,0.181253323
Car Repair,01/08/2014,99.78286,0.560777673
Dog Food,01/08/2014,0.6053252,-0.30702505
Eggs,01/08/2014,2.512302,-2.870156534
Kitchen Roll,01/08/2014,1.720077,-0.684213556
Mascara,01/08/2014,7.911989,-0.910150406
Soap,01/08/2014,1.403484,-2.77452397
Tampons,01/08/2014,2.00596,0.859688129
Toothpaste,01/08/2014,1.86087,3.719496795
Butter,01/09/2014,2.964596,1.442952128
Car Repair,01/09/2014,99.78716,0.004309172
Dog Food,01/09/2014,0.612898,1.23557264
Eggs,01/09/2014,2.60256,3.468046846
Kitchen Roll,01/09/2014,1.745522,1.457730123
Mascara,01/09/2014,7.968571,0.710064577
Soap,01/09/2014,1.479123,5.1137735
Tampons,01/09/2014,2.029323,1.151270645
Toothpaste,01/09/2014,1.945524,4.351218489
Butter,01/10/2014,3.036352,-2.420430979
Car Repair,01/10/2014,100.6224,0.830073622
Dog Food,01/10/2014,0.6152675,0.385117043
Eggs,01/10/2014,2.58907,-0.521036511
Kitchen Roll,01/10/2014,1.695267,-2.964429792
Mascara,01/10/2014,7.786276,-2.341234757
Soap,01/10/2014,1.454823,-1.670306285
Tampons,01/10/2014,1.97972,-2.505556341
Toothpaste,01/10/2014,1.796111,-8.318695225
Butter,01/11/2014,2.950213,2.836924046
Car Repair,01/11/2014,100.4319,-0.189680769
Dog Food,01/11/2014,0.615935,0.108371825
Eggs,01/11/2014,2.523809,-2.585813744
Kitchen Roll,01/11/2014,1.711705,0.960329029
Mascara,01/11/2014,7.859692,0.934082404
Soap,01/11/2014,1.409241,-3.234507086
Tampons,01/11/2014,1.930726,-2.537594666
Toothpaste,01/11/2014,1.774966,-1.191290425
Butter,01/12/2014,3.042936,-3.142925612
Car Repair,01/12/2014,102.2236,1.752726376
Dog Food,01/12/2014,0.6122449,-0.602716331
Eggs,01/12/2014,2.529173,0.212085136
Kitchen Roll,01/12/2014,1.601894,-6.855072808
Mascara,01/12/2014,7.775436,-1.08361769
Soap,01/12/2014,1.479432,4.74445598
Tampons,01/12/2014,1.972379,2.111815224
Toothpaste,01/12/2014,1.722635,-3.03784609
Butter,01/01/2015,2.901515,4.647518055
Car Repair,01/01/2015,102.4098,0.181818537
Dog Food,01/01/2015,0.61112,-0.184071868
Eggs,01/01/2015,2.477239,-2.096446891
Kitchen Roll,01/01/2015,1.698168,5.66928596
Mascara,01/01/2015,7.700816,-0.968988222
