Date,Milk,Cheddar,Cream,Ice Cream,Yoghurt
01/09/2013,1.310289,8.242518,1.125183,2.53,0.6029323
01/10/2013,1.312697,8.31979,1.155396,2.554965,0.6106849
01/11/2013,1.317167,8.469784,1.153053,2.546522,0.6156644
01/12/2013,1.324083,8.278507,1.163985,2.380758,0.6135252
01/01/2014,1.351203,8.411831,1.170469,2.760515,0.6252083
01/02/2014,1.352863,8.468148,1.164228,2.393435,0.6181751
01/03/2014,1.231083,8.659854,1.171119,2.682769,0.6233823
01/04/2014,1.220966,8.666544,1.080518,2.352553,0.6184328
01/05/2014,1.216042,8.620074,1.123768,2.491397,0.6262857
01/06/2014,1.216736,8.644088,1.1,2.557266,0.6307194
01/07/2014,1.217741,8.622695,1.011923,2.426642,0.612
01/08/2014,1.211339,8.683333,1.083529,2.567,0.6157554
01/09/2014,1.140295,8.636993,1.05037,2.463597,0.6219718
01/10/2014,1.166875,8.368298,1.056232,2.334341,0.6140441
01/11/2014,1.166933,8.614285,1.042128,2.647308,0.6130435
01/12/2014,1.152152,8.583,1.063643,2.428919,0.6143885
01/01/2015,1.142929,8.395789,1.053796,2.554769,0.6131111
01/02/2015,1.12384,8.161777,1.045746,2.526667,0.622803
01/03/2015,1.128506,8.47781,0.9857665,2.554296,0.6206569
01/04/2015,1.122172,8.344718,0.9799301,2.602214,0.619527
01/05/2015,1.123293,8.16,0.9804138,2.627045,0.6314788
01/06/2015,1.107869,8.432993,0.9798611,2.408657,0.6369504
01/07/2015,1.110327,8.378803,0.9324286,2.385,0.6400725
01/08/2015,1.102716,8.157467,0.9616312,2.541825,0.6431206
01/09/2015,1.107427,8.084126,0.9688572,2.432324,0.6509524
01/10/2015,1.108238,8.109846,0.9570423,2.368794,0.6378169
01/11/2015,1.115772,8.10736,0.9524828,2.510769,0.6321583
01/12/2015,1.118653,8.145373,0.9532143,2.362911,0.6338732
01/01/2016,1.117317,8.124825,0.9553521,2.475839,0.644069
01/02/2016,1.113074,7.828581,0.9510638,2.401241,0.6339456
01/03/2016,1.107705,7.960833,0.9454861,2.410786,0.6313908
01/04/2016,1.107877,7.893809,0.945411,2.264307,0.6086765
01/05/2016,1.109714,7.996596,0.9497945,2.389058,0.6312245
01/06/2016,1.121612,7.936454,0.94,2.432536,0.6187592
01/07/2016,1.121446,7.832958,0.9365248,2.326963,0.6177698
01/08/2016,1.119792,7.755611,0.9492361,2.375315,0.6166667
01/09/2016,1.120166,7.454375,0.9529054,2.262837,0.6033334
01/10/2016,1.116763,7.573125,0.960473,2.508857,0.6011972
01/11/2016,1.127284,7.493404,0.9742143,2.385113,0.6102817
01/12/2016,1.128471,7.493521,0.9867786,2.134148,0.6088653
01/01/2017,1.130288,7.618732,1.009078,2.391214,0.6035461
01/02/2017,1.124918,7.744671,1.053551,2.433885,0.6081295
01/03/2017,1.117714,7.956028,1.067619,2.477338,0.5962963
01/04/2017,1.117078,7.768591,1.072585,2.315362,0.6134014
01/05/2017,1.127388,7.714786,1.066351,2.472206,0.6234722
01/06/2017,1.122839,7.738944,1.069291,2.401655,0.6348572
01/07/2017,1.124163,7.748392,1.056884,2.387299,0.6279021
01/08/2017,1.118589,7.782207,1.074085,2.419786,0.6330769
01/09/2017,1.121743,7.920417,1.093451,2.445422,0.628662
01/10/2017,1.121901,7.952797,1.136383,2.419231,0.6288356
01/11/2017,1.122542,8.031,1.149452,2.51637,0.6249306
01/12/2017,1.188917,7.886667,1.153566,2.403427,0.6321898
01/01/2018,1.194691,7.943836,1.164571,2.576901,0.6279578
01/02/2018,1.187303,7.832621,1.139704,2.462158,0.6076642
01/03/2018,1.20235,7.658633,1.147183,2.496391,0.6117857
01/04/2018,1.189755,7.702684,1.15,2.504745,0.6126531
01/05/2018,1.192122,7.685503,1.147379,2.232537,0.6044595
01/06/2018,1.191184,7.805385,1.148255,2.43163,0.5662937
01/07/2018,1.190123,7.737391,1.135594,2.39375,0.609726
01/08/2018,1.192939,7.850588,1.155205,2.469648,0.6045946
01/09/2018,1.195,7.952785,1.159864,2.458162,0.5995172
01/10/2018,1.193592,7.866643,1.160411,2.428116,0.6102797
01/11/2018,1.194713,7.752754,1.158156,2.53637,0.6148936
01/12/2018,1.194315,7.762867,1.152029,2.446154,0.5950781
01/01/2019,1.213388,7.809014,1.163333,2.66953,0.6116552
01/02/2019,1.206307,7.61774,1.157535,2.594354,0.603669
01/03/2019,1.201265,7.595879,1.15363,2.520068,0.6015173
01/04/2019,1.19,7.622857,1.146242,2.436574,0.5981379
01/05/2019,1.187851,7.669324,1.141181,2.623286,0.6053472
01/06/2019,1.18781,7.503108,1.13415,2.363546,0.6099275
01/07/2019,1.189712,7.645734,1.135878,2.403873,0.6023358
01/08/2019,1.189713,7.647643,1.13723,2.624615,0.6090278
01/09/2019,1.18,7.31617,1.139035,2.646,0.6155
01/10/2019,1.181852,7.463931,1.141448,2.511479,0.623007
01/11/2019,1.187531,7.422979,1.141806,2.609071,0.6278169
01/12/2019,1.199269,7.487931,1.134966,2.49237,0.6227819
01/01/2020,1.201081,7.518027,1.140909,2.783969,0.633
01/02/2020,1.199543,7.44589,1.129084,2.710709,0.6229078
01/03/2020,1.187655,7.427344,1.13672,2.749328,0.6345517
01/04/2020,1.205174,7.428514,1.131828,2.542294,0.6291765
01/05/2020,1.19819,7.180215,1.12931,2.475714,0.61
01/06/2020,1.197867,7.239917,1.150156,2.514806,0.6336135
01/07/2020,1.196195,6.994758,1.158819,2.769491,0.6448
01/08/2020,1.190932,7.240391,1.118936,2.589044,0.6033858
01/09/2020,1.191037,6.863037,1.124545,2.619496,0.6069697
01/10/2020,1.190209,6.957463,1.124014,2.398,0.620229
01/11/2020,1.208404,6.905125,1.158427,2.283163,0.6348718
01/12/2020,1.20466,6.932048,1.133595,2.153107,0.6343902
01/01/2021,1.200478,6.771415,1.1479,2.563496,0.626036
01/02/2021,1.20335,6.580727,1.148532,2.394874,0.6306364
01/03/2021,1.198889,6.920615,1.157422,2.404553,0.6379527
01/04/2021,1.222588,6.89084,1.146032,2.454222,0.6353968
01/05/2021,1.241866,6.963627,1.164667,2.371391,0.6444117
01/06/2021,1.24162,6.784224,1.139328,2.475935,0.5833043
01/07/2021,1.215868,6.60772,1.138099,2.463521,0.615
01/08/2021,1.242798,6.606429,1.143537,2.539041,0.5946032
01/09/2021,1.231,6.602448,1.138542,2.617083,0.6134043
01/10/2021,1.26675,6.612,1.146148,2.496268,0.6235036
01/11/2021,1.281037,6.506294,1.140147,2.706846,0.6235461
01/12/2021,1.289667,6.37625,1.162214,2.569308,0.6203704
01/01/2022,1.295774,6.572574,1.192643,2.753333,0.6319858
01/02/2022,1.321745,6.638955,1.201691,2.729141,0.6432847
01/03/2022,1.29175,6.631449,1.19922,2.63736,0.6332414
01/04/2022,1.347983,6.855987,1.204345,2.67856,0.6604861
01/05/2022,1.385164,7.135926,1.219116,2.695397,0.6485915
01/06/2022,1.42719,7.512692,1.224863,2.686083,0.6789051
01/07/2022,1.538625,7.78344,1.247394,2.839779,0.679313
01/08/2022,1.580289,8.018077,1.290074,2.834341,0.7010606
01/09/2022,1.583042,8.339497,1.312042,3.055408,0.7255797
01/10/2022,1.655792,8.751928,1.306993,2.972086,0.7669784
01/11/2022,1.694641,8.752593,1.33125,2.901531,0.7781482
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
